"item","n_patterns","patterns","p_correct_mean","p_correct_sd","p_correct_min","p_correct_max","dxy_form_mean","dxy_form_sd","dxy_form_min","dxy_form_max","raw_weight_form_mean","raw_weight_form_sd","raw_weight_form_cv","raw_weight_form_min","raw_weight_form_max","min1_weight_mean","min1_weight_sd","common_rest_item_count_min","dxy_common_mean","dxy_common_sd","raw_weight_common_mean","raw_weight_common_sd","raw_weight_common_cv"
"pm423q01",4,"PATTERN01;PATTERN03;PATTERN12;PATTERN13",0.739424237083577,0.0414945142342542,0.688581314878893,0.79020979020979,0.33833300457345,0.0832083326423769,0.257161586365126,0.426317814544055,1.84591362011246,0.183604860631544,0.0994655755453815,1.60093492003612,2.02015411715112,1.03105276635551,0.0559088657500529,10,0.32125530498107,0.0640378009354529,1.81041744803873,0.161952815797176,0.0894560621765016
"pm442q02",4,"PATTERN01;PATTERN02;PATTERN10;PATTERN11",0.336179638323422,0.0358493769296435,0.291525423728814,0.379310344827586,0.686112503818162,0.0768369918873434,0.574467005076142,0.75016835016835,4.53459915924607,0.480528392231395,0.105969320629276,3.8514268878792,4.97727739596587,2.68183164191467,0.544559371403134,8,0.627396460667211,0.0353370116906256,4.14739458824206,0.285262251306423,0.0687810733309887
"pm446q01",4,"PATTERN03;PATTERN04;PATTERN06;PATTERN11",0.737978103461819,0.0363608781686449,0.694915254237288,0.781472684085511,0.602170183106643,0.0296443407869083,0.57611999471389,0.639494634821738,2.50303451738408,0.130141564620984,0.0519935157574235,2.31127923309805,2.5992647465077,1.62170101390721,0.103625695159874,11,0.541151959645411,0.0293954080189676,2.31578076350882,0.0631284895528251,0.0272601321107678
"pm446q02",4,"PATTERN03;PATTERN04;PATTERN06;PATTERN11",0.0528406785854751,0.011690735126923,0.0451306413301663,0.0699300699300699,0.749773076806969,0.0736870518070143,0.677009688400105,0.822187046563778,9.44013315887036,1.41002847539321,0.149365316321655,7.93646641410347,10.9786426724451,6.12217059567297,0.977174689317399,11,0.696571070580353,0.0429786852242702,8.58765142977937,0.831800518266396,0.0968600699583548
"pm447q01",4,"PATTERN03;PATTERN04;PATTERN06;PATTERN11",0.64458125158557,0.0482265541376774,0.610047846889952,0.714964370546318,0.504661986846159,0.0799370253630436,0.458134785568414,0.623962468422952,2.46702336365176,0.329993337046604,0.133761739717835,2.1946107444967,2.94674705568518,1.59397006444408,0.165879809352464,11,0.43684918923784,0.106551568662666,2.28927293922531,0.363188047458726,0.158647770318566
"pm464q01t",4,"PATTERN03;PATTERN04;PATTERN06;PATTERN11",0.138789200809241,0.0121814503188933,0.122033898305085,0.148325358851675,0.787367542521687,0.0327024253697156,0.753035520115984,0.823074849492317,7.54121279685916,0.440695262442127,0.0584382478406752,6.92206648246974,7.89617815208896,4.89556516184532,0.47673072636729,11,0.731196185605823,0.0532834586590423,6.88336335171626,0.757471937403695,0.110043869355644
"pm474q01",4,"PATTERN01;PATTERN02;PATTERN10;PATTERN11",0.692440351583608,0.0232840399425387,0.664406779661017,0.720538720538721,0.319615449976322,0.0480240422327187,0.275700934579439,0.387755102040817,1.89545003391543,0.143315273765848,0.0756101565335392,1.75261161395203,2.09453098183359,1.12242424229024,0.223112159729068,8,0.284385505504352,0.0222782807623574,1.82356723135607,0.0828903839731875,0.0454550742894997
"pm496q01t",4,"PATTERN01;PATTERN03;PATTERN12;PATTERN13",0.501084180156617,0.0165446345508111,0.487179487179487,0.524137931034483,0.536467916133986,0.0219610080048803,0.504420479937822,0.551826881252719,2.98215945535774,0.0804449785877947,0.0269754115405424,2.89956529649195,3.08953287433295,1.67723121843514,0.183872667759024,10,0.513006185636202,0.0541793980671481,2.90678478865921,0.20944246371283,0.0720529653691487
"pm496q02",4,"PATTERN01;PATTERN03;PATTERN12;PATTERN13",0.605885027198771,0.0113122280975655,0.595155709342561,0.620689655172414,0.480273943953558,0.0314199273547615,0.434865900383142,0.50516795865633,2.47858888824986,0.0969746191697258,0.0391249309756245,2.34620337574596,2.57823638154223,1.38916299477977,0.0781425333441581,10,0.445434921387323,0.0479473776896764,2.38385441049698,0.131424393410099,0.0551310486208344
"pm559q01",4,"PATTERN03;PATTERN04;PATTERN06;PATTERN11",0.565438378500446,0.047936849923668,0.495215311004785,0.600950118764846,0.483923973292894,0.0473562620585306,0.419325239977414,0.520434095748334,2.61513858833047,0.263518200783011,0.10076643813789,2.32460971359789,2.94546494566562,1.68999915274445,0.111488502242401,11,0.467029424510418,0.0780390104249119,2.57346644801382,0.327022939600618,0.127074879819401
"pm564q01",4,"PATTERN01;PATTERN03;PATTERN12;PATTERN13",0.405553527456147,0.0512127038142645,0.334494773519164,0.455172413793103,0.301675152148209,0.131580342915798,0.115174943007236,0.406170752324598,2.60491983930457,0.335376745046428,0.128747433984749,2.12127210653185,2.8441354203656,1.46382086313341,0.237481079345487,10,0.285850333639587,0.109780839522247,2.55638633833943,0.296619018242471,0.116030591227126
"pm564q02",4,"PATTERN01;PATTERN03;PATTERN12;PATTERN13",0.396121474413692,0.00643318381398685,0.389277389277389,0.40418118466899,0.351702947982685,0.120138033017809,0.194652673663168,0.487240829346093,2.77690642307058,0.361862137217034,0.130311246432605,2.32953601358455,3.21518597863338,1.55931121797119,0.238737387593468,10,0.32349107351104,0.11941176418658,2.69127391282522,0.323486729779246,0.120198367114427
"pm571q01",4,"PATTERN01;PATTERN03;PATTERN12;PATTERN13",0.432688067648678,0.043493918783538,0.380622837370242,0.484848484848485,0.509180269157431,0.108683880847654,0.361246639450364,0.60942394709363,3.16253993825766,0.316187047215935,0.0999788313788478,2.6885377962485,3.33360782798737,1.78350323229308,0.292034902679271,10,0.450786860022437,0.0702815038438103,2.93986080558638,0.182771083161869,0.0621699785291073
"pm603q01t",4,"PATTERN01;PATTERN03;PATTERN12;PATTERN13",0.383390886054722,0.0758777553163856,0.314878892733564,0.450574712643678,0.417566768567329,0.0901181338077666,0.3003108003108,0.510724331926864,3.03437100449752,0.304729040058145,0.100425768505723,2.71110439379297,3.43013602898789,1.70085911588701,0.185896600909523,10,0.393649072859162,0.0745213445581238,2.95579743127521,0.336059313129709,0.113694974349012
"pm800q01",4,"PATTERN03;PATTERN04;PATTERN06;PATTERN11",0.785313212574194,0.0506405932982785,0.720095693779904,0.83728813559322,0.30876399681539,0.0609335546516414,0.218621700879766,0.350961538461539,1.70399768397018,0.147395633096222,0.0864999022491638,1.50794247512905,1.85019422841578,1.10219455771183,0.07287528030808,11,0.296921070640427,0.0748164616696452,1.68825213050321,0.212180316330045,0.125680467091607
"pm803q01t",4,"PATTERN01;PATTERN02;PATTERN10;PATTERN11",0.253063832950735,0.0203750333180703,0.230508474576271,0.279461279461279,0.672030387666055,0.0996306376933053,0.52724918365049,0.739322655989323,5.07781867711858,0.758258230716438,0.149327551638121,3.95567555136197,5.56108516961898,2.98946460418639,0.57837581804436,8,0.599148874862943,0.0508573821166003,4.54125389425183,0.393709197880459,0.086696143190497
"pm828q01",4,"PATTERN03;PATTERN04;PATTERN06;PATTERN11",0.293699175851606,0.0259626693027197,0.256410256410256,0.315254237288136,0.650057375805138,0.0901766466127099,0.548243243243243,0.748572198275862,4.60513576251447,0.651228535166653,0.141413536701266,3.95745749535803,5.16966291240402,2.9696108561388,0.275907514076791,11,0.593813714683666,0.0996764047441638,4.27340901275644,0.634925355991194,0.148575845208333
"pm828q02",4,"PATTERN03;PATTERN04;PATTERN06;PATTERN11",0.582110662127974,0.0263710230151651,0.545454545454545,0.608076009501188,0.370886587554672,0.0818438499457474,0.290530303030303,0.450937821746721,2.26422182617475,0.251100760250093,0.110899363899477,2.00793730153369,2.50624967053168,1.46186130666772,0.0940535141101446,11,0.359630245171056,0.101155478279487,2.24229697887902,0.29203070764848,0.130237301481124
"pm828q03",4,"PATTERN03;PATTERN04;PATTERN06;PATTERN11",0.212626643642968,0.0249347195301227,0.188995215311005,0.237529691211401,0.462118673983453,0.0592240771738993,0.397512308888313,0.538895466258096,4.13186860857781,0.410674752697896,0.0993920164463434,3.69533804836686,4.66408309054024,2.66975313733487,0.165089741566955,11,0.432329662843681,0.0877793836920065,4.01358362714144,0.563365666265145,0.140364750956089
"pm903q03",4,"PATTERN01;PATTERN06;PATTERN07;PATTERN09",0.29326583770868,0.0434089507533486,0.250574712643678,0.334928229665072,0.669695655269107,0.0325942565999073,0.629633336669669,0.703861090786289,4.69559015155929,0.389576495873123,0.0829664607213972,4.37895781106434,5.25706993471478,2.68210785502811,0.176594745921127,11,0.651027775577044,0.0427825121319185,4.58584614977361,0.516634836682888,0.112658562849605
"pm905q01t",4,"PATTERN02;PATTERN03;PATTERN05;PATTERN07",0.777009963948134,0.0710158490936116,0.699300699300699,0.853717026378897,0.54715467303707,0.0280564339203142,0.528820710863191,0.588467196234186,2.24818752035705,0.199220615677007,0.0886138784567968,2.05575591945727,2.45674741051909,1.23641585267516,0.169185564449476,10,0.523831325553691,0.06214433683782,2.19056856618751,0.22899857158366,0.104538417613748
"pm905q02",4,"PATTERN02;PATTERN03;PATTERN05;PATTERN07",0.382778463400808,0.0627958803840913,0.312354312354312,0.465227817745803,0.707181107233143,0.0204606540136075,0.686480345376051,0.725835394539017,4.37906369210676,0.456710560924649,0.104294112403039,3.83292693463627,4.92146052050949,2.41788341353355,0.445848975090516,10,0.660639617623525,0.0563344321361383,4.11494973706187,0.585747969116706,0.142346324146097
"pm906q01",4,"PATTERN07;PATTERN08;PATTERN11;PATTERN12",0.495902241164742,0.0194002371256694,0.473429951690821,0.520383693045564,0.513075017026877,0.0302123320085234,0.484608294930875,0.553783524904214,2.91947045684986,0.140846641300832,0.0482439001807222,2.7415968398371,3.05220369756662,1.74073342261157,0.176963251331046,10,0.462027903390915,0.0440094218704643,2.75430873246072,0.195783041440113,0.0710824604129253
"pm909q01",4,"PATTERN02;PATTERN04;PATTERN09;PATTERN12",0.928340463517695,0.0238704143196041,0.905311778290993,0.958477508650519,0.583298843130153,0.080589934907997,0.514950980392157,0.67919362867098,2.02866582053146,0.244566619815688,0.120555400175085,1.79981204065448,2.34362512173917,1.16734196806357,0.189025614476094,9,0.49647637494645,0.0544688662912936,1.81380791356307,0.130005792005351,0.0716756118623202
"pm909q02",4,"PATTERN02;PATTERN04;PATTERN09;PATTERN12",0.565742848752028,0.0397321933404157,0.531177829099307,0.622837370242215,0.490716346935253,0.0676177776785398,0.42347288949897,0.568451488541444,2.63474162400942,0.245468857505176,0.093166197120928,2.44922804070265,2.99602377848825,1.50871783377689,0.12607539770655,9,0.455572795415466,0.0642212570952083,2.52541001059693,0.167738327136705,0.0664202353015372
"pm909q03",4,"PATTERN02;PATTERN04;PATTERN09;PATTERN12",0.286474971403899,0.0371908442860085,0.238578680203046,0.328719723183391,0.718661258047792,0.0386505117050844,0.677978723404255,0.761204557786218,5.09281171982869,0.184752565577654,0.0362771246496952,4.83842721626248,5.2748836837066,2.92071878111426,0.192274504073529,9,0.681591392957519,0.0209695438669521,4.81191793480745,0.224482415172482,0.0466513390738998
"pm915q01",4,"PATTERN07;PATTERN08;PATTERN11;PATTERN12",0.431986986442342,0.0245684705563044,0.398081534772182,0.456521739130435,0.453550735275398,0.0560642782033692,0.395673133450911,0.512600201603225,2.95305244446155,0.268761877925081,0.0910115492290507,2.6755575211901,3.29071109335117,1.7609898965242,0.219079038029608,10,0.421200533194063,0.0522868523721741,2.84443835367047,0.218518464915881,0.0768230623222698
"pm915q02",4,"PATTERN07;PATTERN08;PATTERN11;PATTERN12",0.522416498289513,0.0252232544836247,0.485507246376812,0.542372881355932,0.563187840993207,0.100564912997545,0.453997617546072,0.683981481481481,3.03272044474113,0.321132440615546,0.105889232610412,2.75740154327764,3.45067610540427,1.82634128501472,0.403017899543936,10,0.49297317322123,0.0616345496588449,2.76861999041213,0.168016523874074,0.0606860184698238
"pm918q01",4,"PATTERN01;PATTERN06;PATTERN07;PATTERN09",0.915810424865933,0.0251944847969817,0.898477157360406,0.952038369304556,0.473542915081796,0.0642329860746022,0.396015125072718,0.553319209039547,1.79052780512588,0.154054955262251,0.0860388511260343,1.63763378719791,1.99525908478517,1.02151787836763,0.0430357567352564,11,0.464043001031243,0.0913842469143291,1.77908576165174,0.222511638223193,0.125070776811012
"pm918q02",4,"PATTERN01;PATTERN06;PATTERN07;PATTERN09",0.769807420917925,0.0258697481462617,0.731034482758621,0.784172661870504,0.467939015113104,0.0927305193097042,0.336561331974176,0.542509815765629,2.06971920852458,0.236840198265606,0.114431077070807,1.75076882852273,2.27915664290734,1.18123654285278,0.109771551327092,11,0.451426429599246,0.0675608534063443,2.0242616054959,0.179111118598177,0.0884821991939617
"pm918q05",4,"PATTERN01;PATTERN06;PATTERN07;PATTERN09",0.761847937850661,0.0496001921810247,0.718274111675127,0.80622009569378,0.495948395618075,0.0915689577142331,0.414844122064695,0.581679149426491,2.16650410838195,0.342144745335308,0.157924807994405,1.86376808310286,2.48159782517213,1.23269450433484,0.137163607089986,11,0.470485248279834,0.11277078446466,2.11013609634981,0.368933313908333,0.174838634601117
"pm919q01",4,"PATTERN02;PATTERN03;PATTERN05;PATTERN07",0.783947200656224,0.0289645031706471,0.758949880668258,0.820143884892086,0.557640741322183,0.0917945194762702,0.467696629213483,0.674491815074654,2.27611019964141,0.294392039811258,0.129339976534369,2.00226462627604,2.6909355716614,1.2658633826621,0.305992490814274,10,0.533818878600861,0.0892006837423498,2.20918823028264,0.285479010168882,0.129223488635171
"pm919q02",4,"PATTERN02;PATTERN03;PATTERN05;PATTERN07",0.391940175331313,0.0521876928715243,0.34032634032634,0.460431654676259,0.451034175186077,0.0424706099567927,0.396972824217406,0.497628152379108,3.10494317605658,0.289023128500609,0.0930848366982617,2.80599036156341,3.49590832000408,1.71900776940644,0.333451668340898,10,0.430337658290074,0.0342994275877676,3.03277750202898,0.279507311926314,0.0921621555617975
"pm923q01",4,"PATTERN01;PATTERN06;PATTERN07;PATTERN09",0.498520392507979,0.0369221933878362,0.457471264367816,0.546762589928058,0.547612548039407,0.0226592210303188,0.522723171706236,0.57766534648932,3.03734611473615,0.152700167582267,0.0502742070919803,2.85345221886062,3.18144715836217,1.73852509031568,0.133308623665669,11,0.513972279720765,0.0359680211370973,2.91700680649581,0.145130142669847,0.0497531038826032
"pm923q03",4,"PATTERN01;PATTERN06;PATTERN07;PATTERN09",0.433776282310704,0.00897190356408592,0.422062350119904,0.441379310344828,0.373071123159696,0.0343850674914381,0.337325537533006,0.404705499814195,2.6864168938074,0.0722270454595601,0.0268860152071164,2.622130648214,2.75731183915766,1.53809144732514,0.106143310035551,11,0.363796004977032,0.0583392095459754,2.66285475765958,0.141710373108413,0.0532174624623403
"pm923q04",4,"PATTERN01;PATTERN06;PATTERN07;PATTERN09",0.114384633654548,0.0104064678105035,0.103117505995204,0.124365482233503,0.707670509206766,0.0807535861989224,0.613453010632046,0.780834072759539,7.09943044601635,0.861838839105944,0.121395490195913,6.00880319270768,7.87719310747097,4.04365980700982,0.293307692968676,11,0.684744018939909,0.0836732191601416,6.85546121330621,0.815283429856515,0.118924665239748
"pm924q02",4,"PATTERN01;PATTERN06;PATTERN07;PATTERN09",0.505149297489908,0.0696528735042484,0.409195402298851,0.565947242206235,0.561816938188631,0.0541823114895396,0.502739020507538,0.634088226293009,3.09888192200209,0.483705603225666,0.156090362718035,2.65869839912305,3.78315236901645,1.76735366203032,0.232409863750871,11,0.54082658276482,0.0583477395229135,3.02179510792894,0.487235873355993,0.161240539465275
"pm943q01",4,"PATTERN02;PATTERN03;PATTERN05;PATTERN07",0.507526726264009,0.0155219408455698,0.489260143198091,0.526558891454965,0.347440282681921,0.0490813156961811,0.290563027125598,0.393731279418058,2.3916193697767,0.0862571832025714,0.0360664344387816,2.2985410118374,2.47233379896903,1.32028411559827,0.183855837212899,10,0.315062690027026,0.0214347470890285,2.30894177131114,0.039214934072663,0.0169839424102907
"pm943q02",4,"PATTERN02;PATTERN03;PATTERN05;PATTERN07",0.0260881858245889,0.0130489783596074,0.0115473441108545,0.0381861575178998,0.854780185588143,0.0992428623145733,0.71386476426799,0.94625890736342,14.4702564238201,4.01826776707054,0.277691538379093,9.44635681525344,18.8990219909025,8.15957436898741,3.05812390846957,10,0.75722576978561,0.102980528038397,11.7513237361376,3.33344186377293,0.283665222626959
"pm949q01t",4,"PATTERN02;PATTERN04;PATTERN09;PATTERN12",0.581662267196714,0.0212807401984955,0.556581986143187,0.606598984771574,0.610103632006718,0.0592258801284161,0.546772455676364,0.686138485477178,3.00134177644145,0.292015065064553,0.0972948390472149,2.77354756173048,3.41181586786681,1.72468069146996,0.227504367761143,9,0.5199674953105,0.0408984131585139,2.67123190353984,0.156754767696775,0.0586825754398366
"pm949q02t",4,"PATTERN02;PATTERN04;PATTERN09;PATTERN12",0.278778868599112,0.00829371763984681,0.26643598615917,0.284263959390863,0.622513683759342,0.144259398270198,0.470639396974329,0.78099730458221,4.61177286784943,0.962773079264134,0.208764201284938,3.69433360118253,5.79784824403271,2.63819322202863,0.507533262218404,9,0.53734163705812,0.114178446674878,4.07409243664566,0.641575058811845,0.157476804659856
"pm953q02",4,"PATTERN02;PATTERN03;PATTERN05;PATTERN07",0.476453917226229,0.0466596443845355,0.428904428904429,0.517985611510791,0.598368837967191,0.0712028992763902,0.523470609913396,0.687466725820763,3.35959079814386,0.502135605454607,0.149463323251163,2.87840066509486,3.97801348996855,1.85702806147895,0.419029220112164,10,0.571144021797985,0.0790965002733884,3.24729860567885,0.499925830613057,0.153951296545008
"pm953q03",4,"PATTERN02;PATTERN03;PATTERN05;PATTERN07",0.434032065816019,0.0731049202881673,0.356643356643357,0.498845265588915,0.690757836158519,0.0536020396391822,0.639557355174159,0.764729563322914,4.03763124764895,0.69717832310907,0.172670132646468,3.43308708358901,4.94443569551043,2.23592063198973,0.569618337189256,10,0.665607356201586,0.0725076956002962,3.91407746826306,0.778470797475987,0.198889982068098
