"pattern","n_students","n_items_form","item","n1","n0","p_correct","dxy_form_rest","remapped_form","raw_weight_form","shared_rest_item_count","dxy_common_rest","raw_weight_common_rest","pattern_divisor","min1_form_weight"
"PATTERN01",435,32,"pm00fq01",142,293,0.326436781609195,0.567346055857328,0.567346055857328,3.88026023368483,11,0.551170504254194,3.80303972408117,1.81237819812285,2.14097710825686
"PATTERN01",435,32,"pm033q01",320,115,0.735632183908046,0.322092391304348,0.322092391304348,1.81255667559225,8,0.313532608695652,1.79622188186599,1.81237819812285,1.0000984769457
"PATTERN01",435,32,"pm034q01t",167,268,0.383908045977012,0.563231745464295,0.563231745464295,3.56624280029125,8,0.487219590669407,3.25430186157508,1.81237819812285,1.96771446709354
"PATTERN01",435,32,"pm155q01",325,110,0.747126436781609,0.559636363636364,0.559636363636364,2.34559821666604,8,0.508475524475524,2.20442917414559,1.81237819812285,1.2942101262835
"PATTERN01",435,32,"pm155q04t",266,169,0.611494252873563,0.371068203052009,0.371068203052009,2.17952202190756,8,0.354851626106687,2.14171675649286,1.81237819812285,1.20257572297271
"PATTERN01",435,32,"pm192q01t",163,272,0.374712643678161,0.589543486106099,0.589543486106099,3.73245142206948,10,0.51840490797546,3.41796395220656,1.81237819812285,2.05942193849789
"PATTERN01",435,32,"pm305q01",213,222,0.489655172413793,0.297297297297297,0.297297297297297,2.31391853293467,10,0.238717590830267,2.17729411591267,1.81237819812285,1.27673050543826
"PATTERN01",435,32,"pm406q01",84,351,0.193103448275862,0.607414190747524,0.607414190747524,5.08937381391808,10,0.550773300773301,4.7361842645242,1.81237819812285,2.80811908860377
"PATTERN01",435,32,"pm406q02",41,394,0.0942528735632184,0.798811439891049,0.798811439891049,8.66538313364177,10,0.812863687012505,8.90438261628208,1.81237819812285,4.7812223423438
"PATTERN01",435,32,"pm411q01",222,213,0.510344827586207,0.666899293659857,0.666899293659857,3.49918287916682,8,0.538996743222095,2.95952601287716,1.81237819812285,1.93071340341164
"PATTERN01",435,32,"pm411q02",221,214,0.508045977011494,0.522983888019622,0.522983888019622,2.91057566649598,8,0.42829957288451,2.60862939122607,1.81237819812285,1.60594277149801
