"item","pattern_a","pattern_b","n_a","n_b","p_correct_a","p_correct_b","delta_p_correct","dxy_form_a","dxy_form_b","delta_dxy_form","raw_weight_form_a","raw_weight_form_b","ratio_raw_weight_form","dxy_common_a","dxy_common_b","delta_dxy_common","raw_weight_common_a","raw_weight_common_b","ratio_raw_weight_common"
"pm00fq01","PATTERN01","PATTERN06",435,418,0.326436781609195,0.406698564593301,0.080261782984106,0.567346055857328,0.508704933586338,-0.0586411222709904,3.88026023368483,3.23918147779474,0.834784597608985,0.551170504254194,0.441555977229602,-0.109614527024593,3.80303972408117,2.99736452957403,0.788149676847828
"pm00fq01","PATTERN01","PATTERN07",435,417,0.326436781609195,0.398081534772182,0.0716447531629869,0.567346055857328,0.560408966543465,-0.00693708931386339,3.88026023368483,3.48765157008647,0.898818986368466,0.551170504254194,0.459247347957567,-0.0919231562966267,3.80303972408117,3.0924542644494,0.813153290213541
"pm00fq01","PATTERN01","PATTERN09",435,394,0.326436781609195,0.365482233502538,0.0390454518933426,0.567346055857328,0.498555555555556,-0.0687905003017724,3.88026023368483,3.37912918996608,0.870851176586457,0.551170504254194,0.476333333333333,-0.0748371709208606,3.80303972408117,3.29273874035369,0.865817603614234
"pm00fq01","PATTERN06","PATTERN07",418,417,0.406698564593301,0.398081534772182,-0.00861702982111917,0.508704933586338,0.560408966543465,0.051704032957127,3.23918147779474,3.48765157008647,1.07670767877473,0.441555977229602,0.459247347957567,0.0176913707279658,2.99736452957403,3.0924542644494,1.03172444790654
"pm00fq01","PATTERN06","PATTERN09",418,394,0.406698564593301,0.365482233502538,-0.0412163310907634,0.508704933586338,0.498555555555556,-0.010149378030782,3.23918147779474,3.37912918996608,1.04320465312941,0.441555977229602,0.476333333333333,0.0347773561037319,2.99736452957403,3.29273874035369,1.09854464075534
"pm00fq01","PATTERN07","PATTERN09",417,394,0.398081534772182,0.365482233502538,-0.0325993012696442,0.560408966543465,0.498555555555556,-0.061853410987909,3.48765157008647,3.37912918996608,0.968883823988846,0.459247347957567,0.476333333333333,0.0170859853757661,3.0924542644494,3.29273874035369,1.06476554179208
"pm00gq01","PATTERN02","PATTERN04",433,421,0.0646651270207852,0.0498812351543943,-0.0147838918663909,0.774603174603175,0.902261904761905,0.12765873015873,9.19768855330356,13.0631985576652,1.42026972124135,0.828659611992945,0.843095238095238,0.0144356261022924,10.2020044862643,11.2271341338978,1.10048315985489
"pm00gq01","PATTERN02","PATTERN09",433,394,0.0646651270207852,0.0482233502538071,-0.0164417767669781,0.774603174603175,0.593684210526316,-0.180918964076859,9.19768855330356,7.55577271907155,0.821486036984555,0.828659611992945,0.62119298245614,-0.207466629536805,10.2020044862643,7.83321160167986,0.767811032844214
"pm00gq01","PATTERN02","PATTERN12",433,289,0.0646651270207852,0.0588235294117647,-0.00584159760902052,0.774603174603175,0.772058823529412,-0.00254435107376283,9.19768855330356,9.32425969606412,1.0137611903281,0.828659611992945,0.594939446366782,-0.233720165626164,10.2020044862643,7.17602848782935,0.70339397492826
"pm00gq01","PATTERN04","PATTERN09",421,394,0.0498812351543943,0.0482233502538071,-0.00165788490058719,0.902261904761905,0.593684210526316,-0.308577694235589,13.0631985576652,7.55577271907155,0.57840142945986,0.843095238095238,0.62119298245614,-0.221902255639098,11.2271341338978,7.83321160167986,0.697703573170042
"pm00gq01","PATTERN04","PATTERN12",421,289,0.0498812351543943,0.0588235294117647,0.00894229425737041,0.902261904761905,0.772058823529412,-0.130203081232493,13.0631985576652,9.32425969606412,0.71378075246302,0.843095238095238,0.594939446366782,-0.248155791728456,11.2271341338978,7.17602848782935,0.63916832223131
"pm00gq01","PATTERN09","PATTERN12",394,289,0.0482233502538071,0.0588235294117647,0.0106001791579576,0.593684210526316,0.772058823529412,0.178374613003096,7.55577271907155,9.32425969606412,1.23405772549626,0.62119298245614,0.594939446366782,-0.0262535360893583,7.83321160167986,7.17602848782935,0.916102979560826
"pm00kq02","PATTERN07","PATTERN08",417,414,0.0647482014388489,0.0628019323671498,-0.00194626907169916,0.667331433998101,0.316514670896114,-0.350816763101987,7.76140565303272,5.14866002612621,0.663366953911809,0.557644824311491,0.316514670896114,-0.241130153415377,6.71267395655442,5.14866002612621,0.76700582501835
"pm00kq02","PATTERN07","PATTERN11",417,295,0.0647482014388489,0.0711864406779661,0.00643823923911718,0.667331433998101,0.669621133124783,0.00228969912668209,7.76140565303272,7.56105335808718,0.97418608124583,0.557644824311491,0.64754953076121,0.0899047064497185,6.71267395655442,7.33057539972704,1.09204997102076
"pm00kq02","PATTERN07","PATTERN12",417,289,0.0647482014388489,0.0761245674740484,0.0113763660351995,0.667331433998101,0.817160367722165,0.149828933724065,7.76140565303272,9.48577117059895,1.22217180684177,0.557644824311491,0.681307456588355,0.123662632276864,6.71267395655442,7.5500992686005,1.12475286561898
"pm00kq02","PATTERN08","PATTERN11",414,295,0.0628019323671498,0.0711864406779661,0.00838450831081634,0.316514670896114,0.669621133124783,0.353106462228669,5.14866002612621,7.56105335808718,1.46854780073254,0.316514670896114,0.64754953076121,0.331034859865095,5.14866002612621,7.33057539972704,1.42378315183543
"pm00kq02","PATTERN08","PATTERN12",414,289,0.0628019323671498,0.0761245674740484,0.0133226351068987,0.316514670896114,0.817160367722165,0.500645696826051,5.14866002612621,9.48577117059895,1.84237668101305,0.316514670896114,0.681307456588355,0.364792785692241,5.14866002612621,7.5500992686005,1.46642023949697
"pm00kq02","PATTERN11","PATTERN12",295,289,0.0711864406779661,0.0761245674740484,0.00493812679608234,0.669621133124783,0.817160367722165,0.147539234597383,7.56105335808718,9.48577117059895,1.25455683505435,0.64754953076121,0.681307456588355,0.0337579258271459,7.33057539972704,7.5500992686005,1.02994633530154
"pm033q01","PATTERN01","PATTERN02",435,433,0.735632183908046,0.764434180138568,0.0288019962305222,0.322092391304348,0.374918547479415,0.0528261561750671,1.81255667559225,1.86191538248975,1.02723153850148,0.313532608695652,0.356199277293999,0.0426666685983472,1.79622188186599,1.82463853825419,1.01582023728532
"pm033q01","PATTERN01","PATTERN10",435,297,0.735632183908046,0.713804713804714,-0.0218274701033322,0.322092391304348,0.387014428412875,0.0649220371085273,1.81255667559225,1.98673391809595,1.09609478415167,0.313532608695652,0.387014428412875,0.0734818197172229,1.79622188186599,1.98673391809595,1.10606264078692
"pm033q01","PATTERN01","PATTERN11",435,295,0.735632183908046,0.711864406779661,-0.023767777128385,0.322092391304348,0.35109243697479,0.0290000456704425,1.81255667559225,1.91491191540058,1.05647009066621,0.313532608695652,0.376526610644258,0.0629940019486055,1.79622188186599,1.96814707943379,1.09571489987039
"pm033q01","PATTERN02","PATTERN10",433,297,0.764434180138568,0.713804713804714,-0.0506294663338543,0.374918547479415,0.387014428412875,0.0120958809334601,1.86191538248975,1.98673391809595,1.06703770578408,0.356199277293999,0.387014428412875,0.0308151511188757,1.82463853825419,1.98673391809595,1.08883698137651
"pm033q01","PATTERN02","PATTERN11",433,295,0.764434180138568,0.711864406779661,-0.0525697733589071,0.374918547479415,0.35109243697479,-0.0238261105046247,1.86191538248975,1.91491191540058,1.02846344866648,0.356199277293999,0.376526610644258,0.0203273333502583,1.82463853825419,1.96814707943379,1.07865039467866
"pm033q01","PATTERN10","PATTERN11",297,295,0.713804713804714,0.711864406779661,-0.00194030702505277,0.387014428412875,0.35109243697479,-0.0359219914380848,1.98673391809595,1.91491191540058,0.963849208974999,0.387014428412875,0.376526610644258,-0.0104878177686174,1.98673391809595,1.96814707943379,0.990644525422923
"pm034q01t","PATTERN01","PATTERN02",435,433,0.383908045977012,0.297921478060046,-0.0859865679169653,0.563231745464295,0.578947368421053,0.0157156229567574,3.56624280029125,4.10629419679304,1.15143427599985,0.487219590669407,0.516625866993064,0.0294062763236567,3.25430186157508,3.80341250124216,1.16873377548366
"pm034q01t","PATTERN01","PATTERN10",435,297,0.383908045977012,0.34006734006734,-0.0438407059096714,0.563231745464295,0.511669024045261,-0.0515627214190337,3.56624280029125,3.55006480858783,0.995463575362258,0.487219590669407,0.511669024045261,0.024449433375854,3.25430186157508,3.55006480858783,1.09088368553174
"pm034q01t","PATTERN01","PATTERN11",435,295,0.383908045977012,0.284745762711864,-0.0991622832651471,0.563231745464295,0.589990972692394,0.0267592272280992,3.56624280029125,4.24081060454352,1.18915363928591,0.487219590669407,0.575603701196118,0.0883841105267109,3.25430186157508,4.16391540913154,1.2795111167457
"pm034q01t","PATTERN02","PATTERN10",433,297,0.297921478060046,0.34006734006734,0.0421458620072939,0.578947368421053,0.511669024045261,-0.0672783443757912,4.10629419679304,3.55006480858783,0.86454224623272,0.516625866993064,0.511669024045261,-0.00495684294780263,3.80341250124216,3.55006480858783,0.933389372682666
"pm034q01t","PATTERN02","PATTERN11",433,295,0.297921478060046,0.284745762711864,-0.0131757153481818,0.578947368421053,0.589990972692394,0.0110436042713418,4.10629419679304,4.24081060454352,1.03275858993628,0.516625866993064,0.575603701196118,0.0589778342030542,3.80341250124216,4.16391540913154,1.09478406766861
