"pattern","n_students","n_items_form","item","n1","n0","p_correct","dxy_form_rest","remapped_form","raw_weight_form","shared_rest_item_count","dxy_common_rest","raw_weight_common_rest","pattern_divisor","min1_form_weight"
"PATTERN01",435,32,"pm995q02",8,427,0.0183908045977011,0.891393442622951,0.891393442622951,15.624041414268,11,0.860070257611241,14.4099988890801,1.81237819812285,8.62074010294895
"PATTERN06",418,24,"pm995q02",7,411,0.0167464114832536,0.75599582898853,0.75599582898853,11.9161107526459,11,0.75564824469934,11.9091209717078,1.63763378719791,7.27641970127832
"PATTERN07",417,34,"pm995q02",15,402,0.0359712230215827,0.860199004975124,0.860199004975124,12.5879916556896,11,0.801824212271974,11.1217501807321,1.71684015039761,7.33206970536792
"PATTERN09",394,22,"pm995q02",5,389,0.0126903553299492,0.833419023136247,0.833419023136247,14.4185887869002,11,0.723907455012853,11.8287393348204,1.83713416661613,7.84841360468419
