"person","calibration","audit","fold","number_correct","raw_proportion","full_weighted","crossfit_weighted","raw_midrank_percentile","weighted_midrank_percentile"
1,TRUE,FALSE,3,26,0.928571428571429,0.92448593982149,0.924079806348448,90.9479808350445,90.9993155373032
2,FALSE,TRUE,5,26,0.928571428571429,0.932735758283544,0.932509832402947,90.9479808350445,92.7618069815195
3,TRUE,FALSE,1,27,0.964285714285714,0.96086303624016,0.961177657477215,95.4312114989733,95.0034223134839
4,TRUE,FALSE,4,28,1,1,1,98.6652977412731,98.6652977412731
5,TRUE,FALSE,3,24,0.857142857142857,0.836264891113499,0.835832342309333,78.5420944558522,77.2245037645448
6,TRUE,FALSE,4,27,0.964285714285714,0.964590135644942,0.964691262574348,95.4312114989733,95.7734428473648
7,TRUE,FALSE,3,27,0.964285714285714,0.964590135644942,0.964284340161424,95.4312114989733,95.7734428473648
8,TRUE,FALSE,5,19,0.678571428571429,0.659617683395754,0.660481071301379,39.2026009582478,40.845311430527
9,FALSE,TRUE,1,26,0.928571428571429,0.892854833847045,0.894191290111034,90.9479808350445,86.9609856262834
10,FALSE,TRUE,4,20,0.714285714285714,0.680751114044338,0.680273392289727,47.1594798083504,45.3285420944559
11,TRUE,FALSE,4,23,0.821428571428571,0.824416607603348,0.824487304337271,71.1327857631759,74.555099247091
12,TRUE,FALSE,1,23,0.821428571428571,0.812826667279723,0.812264113555568,71.1327857631759,72.296372347707
13,TRUE,FALSE,4,24,0.857142857142857,0.841450945181806,0.840840754871188,78.5420944558522,78.1143052703628
14,TRUE,FALSE,3,16,0.571428571428571,0.555656651624516,0.556351604063671,19.4216290212183,21.7830253251198
15,TRUE,FALSE,4,18,0.642857142857143,0.600917087339584,0.599239870991023,31.6392881587953,29.9623545516769
16,FALSE,TRUE,5,25,0.892857142857143,0.881506153870752,0.881920123536386,85.2669404517454,84.8049281314168
17,TRUE,FALSE,5,22,0.785714285714286,0.798632860456033,0.799467721581234,62.9876796714579,69.2847364818617
18,FALSE,TRUE,2,23,0.821428571428571,0.824200971901889,0.822392187755219,71.1327857631759,74.4182067077344
19,TRUE,FALSE,4,25,0.892857142857143,0.895321951060022,0.895602070327023,85.2669404517454,87.4572210814511
20,TRUE,FALSE,2,26,0.928571428571429,0.91391477534421,0.914092960250069,90.9479808350445,89.6817248459959
21,TRUE,FALSE,2,17,0.607142857142857,0.599036646031133,0.600764812120572,25.2908966461328,29.3805612594114
22,TRUE,FALSE,4,26,0.928571428571429,0.935064159762831,0.935345265406822,90.9479808350445,93.0013689253936
23,FALSE,TRUE,3,24,0.857142857142857,0.837053639815894,0.836350190758562,78.5420944558522,77.4298425735797
24,TRUE,FALSE,3,16,0.571428571428571,0.536062665825692,0.536367194164319,19.4216290212183,18.9082819986311
25,FALSE,TRUE,2,13,0.464285714285714,0.441108968593437,0.441632676744874,8.02532511978097,8.57289527720739
26,FALSE,TRUE,1,24,0.857142857142857,0.829191183955264,0.83032049755934,78.5420944558522,75.5475701574264
27,FALSE,TRUE,5,22,0.785714285714286,0.774830607677651,0.775168290245719,62.9876796714579,64.4250513347023
28,TRUE,FALSE,1,19,0.678571428571429,0.681021727529231,0.680751357660943,39.2026009582478,45.3969883641342
29,TRUE,FALSE,1,21,0.75,0.751082087438924,0.751532938444873,54.7741273100616,59.4969199178645
30,TRUE,FALSE,1,25,0.892857142857143,0.87107123783372,0.870336242520736,85.2669404517454,83.1793292265572
31,TRUE,FALSE,3,16,0.571428571428571,0.53280381324487,0.532139300689646,19.4216290212183,18.5660506502396
32,TRUE,FALSE,3,25,0.892857142857143,0.882312645452571,0.881313429063218,85.2669404517454,85.1642710472279
33,FALSE,TRUE,3,18,0.642857142857143,0.628860257215237,0.628538013965985,31.6392881587953,34.2060232717317
34,TRUE,FALSE,5,24,0.857142857142857,0.848724817859492,0.848754996942057,78.5420944558522,79.7227926078029
35,TRUE,FALSE,3,27,0.964285714285714,0.968867984171651,0.968747603233884,95.4312114989733,96.9712525667351
36,TRUE,FALSE,5,19,0.678571428571429,0.639908312494,0.64052529800522,39.2026009582478,36.533196440794
37,TRUE,FALSE,4,21,0.75,0.76449757243802,0.765472783732987,54.7741273100616,62.4058863791923
38,TRUE,FALSE,4,19,0.678571428571429,0.686277415481942,0.685501231728566,39.2026009582478,46.7316906228611
39,TRUE,FALSE,5,27,0.964285714285714,0.962265824250413,0.962494062421024,95.4312114989733,95.1745379876797
40,TRUE,FALSE,2,18,0.642857142857143,0.635454947995989,0.635623397237366,31.6392881587953,35.5749486652977
41,TRUE,FALSE,4,18,0.642857142857143,0.600639401891023,0.599010633482329,31.6392881587953,29.8596851471595
42,TRUE,FALSE,1,21,0.75,0.707331414198984,0.708124603278492,54.7741273100616,50.6331279945243
43,TRUE,FALSE,3,27,0.964285714285714,0.968581223658336,0.968257196100072,95.4312114989733,96.8001368925394
44,FALSE,TRUE,3,23,0.821428571428571,0.815571977556082,0.815590504508675,71.1327857631759,73.0492813141684
45,TRUE,FALSE,4,21,0.75,0.732883348068518,0.733044938008727,54.7741273100616,55.9377138945927
46,TRUE,FALSE,5,20,0.714285714285714,0.684895836854123,0.684523159315102,47.1594798083504,46.4579055441478
47,TRUE,FALSE,1,24,0.857142857142857,0.834963322679317,0.833906975959534,78.5420944558522,76.9164955509925
48,TRUE,FALSE,4,24,0.857142857142857,0.843782384039568,0.84309267000032,78.5420944558522,78.7303216974675
49,TRUE,FALSE,3,20,0.714285714285714,0.688294405925335,0.688478385459757,47.1594798083504,47.2108145106092
