"item","n","correct","incorrect","proportion_correct","C","Dxy","tied_pair_fraction","Cplus","concordance_pair_numerator","pad1","pad2","rarity_factor","discrimination_factor","raw_weight","operational_weight","share","constant","small_group","score_type"
"Item17",2922,2588,334,0.885694729637235,0.672120982146989,0.344241964293978,0.0540541791224352,0.344241964293978,1005.875019667,0.885733835100924,0.65587580579302,1.12133878535971,1.42178382839889,1.59430135118089,1.0271510231251,0.0279402175091247,FALSE,FALSE,"rest"
"Item18",2922,2471,451,0.845653661875428,0.680456039503922,0.360912079007844,0.0541994452724778,0.360912079007844,1054.58509486092,0.845706465959631,0.639211394163216,1.16758294653366,1.44752005902684,1.69009973568515,1.08887047696887,0.0296190893849399,FALSE,FALSE,"rest"
"Item19",2922,2076,846,0.71047227926078,0.713778315272596,0.427556630545193,0.0553107221106237,0.427556630545193,1249.32047445305,0.710571330824495,0.57258964267771,1.34168594123513,1.55758597471485,2.08979120453993,1.34637731585129,0.0366237040194771,FALSE,FALSE,"rest"
"Item20",2922,1347,1575,0.460985626283368,0.743814944438552,0.487629888877105,0.0573087755270383,0.487629888877105,1424.8545352989,0.461170030790284,0.512536936264488,1.77398847363899,1.66838249980657,2.95969132427786,1.90682267791765,0.0518687507220273,FALSE,FALSE,"rest"
"Item21",2922,2209,713,0.755989048596851,0.719848420683713,0.439696841367426,0.0544838563647249,0.439696841367426,1284.79417047562,0.756072528224427,0.560453585194793,1.27961797059945,1.57900884954238,2.02052809960998,1.30175358832267,0.0354098643550582,FALSE,FALSE,"rest"
"Item22",2922,1843,1079,0.630732375085558,0.738840247672103,0.477680495344205,0.0551006563924214,0.477680495344205,1395.78240739577,0.630858706808074,0.522482925967921,1.46067336099471,1.64916297325045,2.40888842296576,1.5519601776733,0.0422159000511562,FALSE,FALSE,"rest"
"Item23",2922,2372,550,0.811772758384668,0.703565460677602,0.407130921355205,0.0548007051969952,0.407130921355205,1189.63655219991,0.811837153609306,0.593008363941188,1.20845550867548,1.52254677562994,1.83993003822609,1.18540075240023,0.0322448735501174,FALSE,FALSE,"rest"
"Item24",2922,1563,1359,0.534907597535934,0.658306957667586,0.316613915335172,0.0600701373794381,0.316613915335172,925.145860609373,0.535066712281902,0.68349440280213,1.62536384400599,1.38053681187561,2.24387461934192,1.44564771855355,0.0393240242073309,FALSE,FALSE,"rest"
"Item25",2922,1809,1113,0.619096509240246,0.624316274274033,0.248632548548065,0.0607653556118777,0.248632548548065,726.504306857447,0.619226821758467,0.751452512193826,1.47928364085137,1.28574726247924,1.90198489165497,1.22538046272421,0.0333323882166612,FALSE,FALSE,"rest"
"Item26",2922,2053,869,0.702600958247775,0.634468237281656,0.268936474563313,0.0589728915612001,0.268936474563313,785.832378674,0.702702702702703,0.731155532441327,1.35282137462274,1.31312907518638,1.77642908055072,1.14448936911791,0.031132015828349,FALSE,FALSE,"rest"
"Item27",2922,1305,1617,0.446611909650924,0.689969836767866,0.379939673535733,0.0595824536711236,0.379939673535733,1110.18372607141,0.446801231611358,0.620190309246866,1.80564145527487,1.47772889764446,2.66824855724448,1.71905658456333,0.0467612004484592,FALSE,FALSE,"rest"
"Item28",2922,2395,527,0.819644079397673,0.709451616864673,0.418903233729346,0.0531911437886489,0.418903233729346,1224.03524895715,0.819705781731098,0.581240079043056,1.19880980587591,1.54259139053926,1.84927368543821,1.19142052826415,0.0324086214734582,FALSE,FALSE,"rest"
