"calibration_n","metric","mean","sd","p025","median","p975"
50,"pearson",0.996075345225981,0.00151985367473485,0.993272450272784,0.99637529711482,0.99797454032016
50,"spearman",0.995974697623971,0.00147870918721604,0.992883556064205,0.996330117644882,0.997916748651126
50,"rmse",0.0166887829844203,0.00387671831612972,0.0116352709663614,0.0160857415438297,0.0266997807631141
50,"mean_change",0.00302942322978056,0.00672866962820503,-0.0089041999432089,0.00364299131822136,0.0171204772016092
50,"max_abs_change",0.0539274781583163,0.0101188252673978,0.0372426662459151,0.0538790394123777,0.0735378436612725
50,"mean_rank_shift_pp",1.90794262080873,0.333312393242362,1.39431096734098,1.84741441292683,2.5674171692915
50,"p95_rank_shift_pp",5.27023945267959,0.933104755365971,3.93101482326112,5.13112884834664,7.2491448118586
50,"max_rank_shift_pp",9.91676168757126,2.37580344561655,6.49942987457241,9.80615735461801,15.3392246294185
50,"top_decile_overlap",0.946363636363636,0.0203073471008068,0.903125,0.948863636363636,0.977272727272727
50,"max_share",0.0604289821700653,0.00764201666965967,0.0506307499489556,0.059228191352441,0.0783965304513317
50,"effective_items",26.2241590467586,0.468059604318226,25.2451687491991,26.2742254991246,26.9539401044709
50,"operational_max",2.89266959763764,0.442264702751473,2.15066899034027,2.83861132918549,3.92837370094994
50,"constants",0.01,0.1,0,0,0
50,"small_groups",1.88,1.27350625511545,0,2,4
50,"negative_items",0.74,0.927906299693078,0,0,3
50,"share_L1",0.155582345254816,0.0265951484648922,0.115150703480156,0.153007696991945,0.206864369080176
50,"share_max_abs",0.0194230565471112,0.00783621011574894,0.0111015591186071,0.017411876750564,0.0428349268088615
100,"pearson",0.998302640227392,0.000536557773061524,0.99706070100452,0.998352499410213,0.999243628675925
100,"spearman",0.998189835623087,0.000562765825730415,0.997030599980359,0.998251676218968,0.999166872294958
100,"rmse",0.0108853338349525,0.00214355241043477,0.00744179984276922,0.0106765159940151,0.0156630135323348
100,"mean_change",0.000705524284815766,0.00432010902748935,-0.00693306580156069,0.000163179572601128,0.00870539200061493
100,"max_abs_change",0.0356346950053351,0.00612040057228239,0.0248912801895731,0.0357042255538858,0.0477529195138931
100,"mean_rank_shift_pp",1.28730551051904,0.199829408098893,0.878799265142779,1.29198092907692,1.68273462579099
100,"p95_rank_shift_pp",3.53683010262258,0.555580519610621,2.44298745724059,3.53477765108324,4.63854047890535
100,"max_rank_shift_pp",6.67616875712657,1.34217276191522,4.20752565564424,6.67046750285063,9.6921322690992
100,"top_decile_overlap",0.969772727272727,0.0138206856993941,0.943181818181818,0.965909090909091,0.988636363636364
100,"max_share",0.0568815404162238,0.00469867271981513,0.0474399380743588,0.0568485245223544,0.0664537622740473
100,"effective_items",26.6898112249548,0.305177379690915,26.1371006486707,26.6931397330957,27.2744200591438
