"scenario","copied_or_reversed_item","extra_share","pearson","spearman","rmse","mean_change","max_abs_change","mean_rank_shift_pp","p95_rank_shift_pp","max_rank_shift_pp","top_decile_overlap","max_share","effective_items","operational_max","constants","small_groups","negative_items"
"append_zero","Item12",0.131887445369333,1,1,0.0931087576012307,-0.0902618526799773,0.131887445369333,0,0,0,1,0.131887445369333,22.1202429118284,5.50624975465678,1,1,0
"append_one","Item12",0.0173122002544082,1,1,0.00623298315890174,0.0054639817636055,0.0145039409403752,0,0,0,1,0.0534418843848946,27.8248999895523,3.08694929584625,1,1,0
"append_rare_1pct","Item12",0.103513785570383,0.997258346849763,0.997298415464427,0.0727419882181125,-0.0695400092994161,0.103513785570383,0.442058484337478,0.456100342075261,22.9190421892816,0.977272727272727,0.103513785570383,24.7679163223428,4.18565906158554,0,0,0
"append_random_50pct","Item12",0.0297751643573233,0.996080481143991,0.996019835693624,0.016738926380723,-0.00522035214171746,0.0297751643573232,2.40323794838057,3.64880273660205,4.21892816419612,0.909090909090909,0.0527693859527138,28.0775550298652,1.98045937510523,0,0,0
"append_reversed","Item12",0.0272261608474906,0.996368803068886,0.995743859082324,0.019211222451725,-0.0011391864908139,0.0272261608474906,2.09717745657751,5.13112884834663,5.92930444697834,0.943181818181818,0.0499701519111314,28.2090450998861,1.84006347638107,0,0,1
"append_one_duplicate","Item12",0.0580420306212535,0.989585042177188,0.988280681816565,0.0321185817910725,-0.0168226083213293,0.0617006808863754,3.19790308257783,9.6921322690992,10.8323831242873,0.965909090909091,0.0580420306212535,27.4580644434283,2.25784847420511,0,0,0
"append_five_duplicates","Item12",0.326979049381062,0.829742252905492,0.911784947261903,0.175537712689788,-0.0915869361125412,0.337991478901142,7.4219019176237,28.9851767388825,52.1094640820981,0.965909090909091,0.0653958098762123,25.1925557617417,3.71677754180968,0,0,0
